종목코드,순위,종목명,시가총액(억원),종가,거래량_최근,MA5,MA20,MA비율(단기/장기)
353200,150,대덕전자,28859,58400,759347,767566,1202460,0.638
009420,151,한올바이오파마,28784,55100,280988,374160,528376,0.708
028670,152,팬오션,28599,5350,4622593,5009165,3847233,1.302
010060,153,OCI홀딩스,28453,152400,176884,238134,320628,0.743
005850,154,에스엘,28380,61100,927506,335786,436873,0.769
051600,155,한전KPS,28260,62800,741049,529066,406221,1.302
204320,156,HL만도,28080,59800,464498,498075,1262399,0.395
004800,157,효성,28073,167700,43247,57196,46671,1.226
081660,158,미스토홀딩스,27660,52100,234158,166153,157272,1.056
003690,159,코리안리,27391,14060,989856,855797,667986,1.281
023590,160,다우기술,27009,60200,182309,126621,152529,0.83
004370,161,농심,26915,442500,22303,33839,35588,0.951
383220,162,F&F,26891,70200,122938,180096,130846,1.376
002790,163,아모레퍼시픽홀딩스,26856,33800,115729,184996,264112,0.7
001430,164,세아베스틸지주,26645,74300,208487,372934,441506,0.845
030000,165,제일기획,25826,22450,444455,451947,450784,1.003
003540,166,대신증권,24878,49000,972893,981136,484290,2.026
097230,167,HJ중공업,24244,26850,5307177,2070866,1584890,1.307
069960,168,현대백화점,24099,106500,72042,193029,164497,1.173
336260,169,두산퓨얼셀,24068,36750,431597,619277,660491,0.938
282330,170,BGF리테일,23678,137000,69123,125091,76653,1.632
011210,171,현대위아,23496,86400,98256,176551,303541,0.582
020150,172,롯데에너지머티리얼즈,23171,44250,304030,291878,706654,0.413
018670,173,SK가스,22697,245500,24732,19468,17538,1.11
005440,174,현대지에프홀딩스,22356,14340,894765,3496161,1046603,3.34
192820,175,코스맥스,22108,194800,103088,69807,89686,0.778
085620,176,미래에셋생명,21950,12400,1841846,511192,218062,2.344
361610,177,SK아이이테크놀로지,21714,26550,159848,211254,244638,0.864
000155,178,두산우,21580,540000,34741,31349,26204,1.196
483650,179,달바글로벌,21290,171800,336154,184512,198684,0.929
073240,180,금호타이어,20251,7050,596076,1068008,1117670,0.956
006280,181,녹십자,20170,172600,47442,79162,80012,0.989
112610,182,씨에스윈드,20157,47800,686154,708367,437656,1.619
069620,183,대웅제약,20044,173000,20591,33684,36686,0.918
003530,184,한화투자증권,19952,9300,42695498,33800931,15136593,2.233
017960,185,한국카본,19854,38250,891248,617017,537193,1.149
462870,186,시프트업,19811,33600,64386,79572,107882,0.738
006040,187,동원산업,19734,44700,77918,95366,88453,1.078
375500,188,DL이앤씨,19695,50900,308538,446444,464399,0.961
006360,189,GS건설,19640,22950,1005673,1208409,1121180,1.078
032350,190,롯데관광개발,19343,24300,521895,724539,975270,0.743
003570,191,SNT다이내믹스,19153,57600,147007,167292,117365,1.425
030610,192,교보증권,19054,16720,917890,613987,284970,2.155
008770,193,호텔신라,18897,48150,358946,394426,469313,0.84
034230,194,파라다이스,18850,20400,664027,909587,1030196,0.883
007070,195,GS리테일,18811,22500,199123,253181,258743,0.979
001120,196,LX인터내셔널,18488,47700,176964,199795,189276,1.056
007340,197,DN오토모티브,18372,31400,175905,396771,231977,1.71
005070,198,코스모신소재,17653,54300,181274,273051,410371,0.665
161890,199,한국콜마,17090,72400,157581,207852,244179,0.851
298020,200,효성티앤씨,17029,393500,32543,33512,57094,0.587
120110,201,코오롱인더,17006,61800,215761,270066,406743,0.664
395400,202,SK리츠,16676,5540,255583,304686,380297,0.801
003090,203,대웅,16192,27850,122106,183358,141732,1.294
007310,204,오뚜기,16051,400500,4684,7504,7264,1.033
020560,205,아시아나항공,15943,7740,127305,141058,158481,0.89
294870,206,HDC현대산업개발,15850,24050,329669,372953,410907,0.908
001800,207,오리온홀딩스,15630,24950,180620,253277,179642,1.41
000500,208,가온전선,14872,89900,50876,40246,56400,0.714
077970,209,STX엔진,14814,36900,826449,308304,347326,0.888
007810,210,코리아써키트,14196,60100,538194,394171,557897,0.707
000815,211,삼성화재우,14009,452000,27645,21970,18461,1.19
012630,212,HDC,13889,23250,168193,235021,235131,1.0
181710,213,NHN,13887,42400,120010,265365,118678,2.236
082640,214,동양생명,13683,8480,13163808,2819954,857490,3.289
229640,215,LS에코에너지,13674,44650,204321,198104,237925,0.833
300720,216,한일시멘트,13657,18570,154977,110246,130957,0.842
185750,217,종근당,13305,96400,30933,51562,50552,1.02
330590,218,롯데리츠,13234,4580,293286,308013,361331,0.852
005300,219,롯데칠성,13176,142000,17737,26769,36227,0.739
004000,220,롯데정밀화학,12900,50000,92851,69851,85164,0.82
484870,221,엠앤씨솔루션,12815,140000,21699,30975,41832,0.74
000080,222,하이트진로,12617,17990,197335,199915,227745,0.878
280360,223,롯데웰푸드,12533,134700,31151,26983,23520,1.147
051915,224,LG화학우,12471,162200,58403,44073,54447,0.809
001740,225,SK네트웍스,12413,5610,1954737,1407114,1523613,0.924
415640,226,KB발해인프라,12266,10010,135491,103704,115049,0.901
003240,227,태광산업,12213,1097000,3793,7699,5028,1.531
089860,228,롯데렌탈,12181,33550,34422,70913,89557,0.792
100090,229,SK오션플랜트,11689,18710,361484,401964,474486,0.847
499790,230,GS피앤엘,11640,58700,125674,237258,286979,0.827
192080,231,더블유게임즈,11560,54600,65479,66421,61085,1.087
003470,232,유안타증권,11516,5770,5540647,4306160,1964778,2.192
249420,233,일동제약,11437,36150,289052,267492,499197,0.536
006120,234,SK디스커버리,11430,62300,80152,55578,50914,1.092
298050,235,HS효성첨단소재,11401,254500,18038,25643,40823,0.628
075580,236,세진중공업,11369,20000,704724,297896,310058,0.961
036530,237,SNT홀딩스,11265,69100,26062,25155,32945,0.764
285130,238,SK케미칼,11140,64400,49178,72065,69075,1.043
009240,239,한샘,11108,47200,43067,102797,72879,1.411
137310,240,에스디바이오센서,11103,9120,131293,140936,157382,0.896
000670,241,영풍,11099,61400,58653,46273,53034,0.873
006650,242,대한유화,10978,168900,49396,57683,47109,1.224
365550,243,ESR켄달스퀘어리츠,10938,4445,251963,296110,338104,0.876
000370,244,한화손해보험,10856,9300,21789051,6287979,2739338,2.295
071055,245,한국금융지주우,10732,183200,70846,47711,34539,1.381
071320,246,지역난방공사,10675,92200,35471,69419,47047,1.476
000210,247,DL,10519,50200,139707,155843,157824,0.987
192400,248,쿠쿠홀딩스,10366,29150,55097,37649,48269,0.78
003160,249,디아이,10301,36400,450706,873719,970540,0.9
005690,250,파미셀,10274,17120,1028560,4423225,1754578,2.521
100840,251,SNT에너지,10195,49300,558700,392572,400872,0.979
475150,252,SK이터닉스,10143,30050,6026936,5730884,1936209,2.96
030190,253,NICE평가정보,9956,16900,42791,123944,96597,1.283
009450,254,경동나비엔,9950,68300,106878,160921,87605,1.837
281820,255,케이씨텍,9827,47500,120855,101668,179064,0.568
195870,256,해성디에스,9809,57700,227356,170687,324279,0.526
079160,257,CJ CGV,9785,5910,604317,517444,597230,0.866
057050,258,현대홈쇼핑,9768,81400,40739,124085,47875,2.592
010780,259,아이에스동서,9674,32050,112720,180527,175866,1.027
322000,260,HD현대에너지솔루션,9665,86300,582634,748415,1003077,0.746
066575,261,LG전자우,9606,55900,263175,420518,192853,2.181
00088K,262,한화3우B,9605,49500,102604,77696,69850,1.112
064960,263,SNT모티브,9594,36150,118110,80950,138117,0.586
004490,264,세방전지,9591,69200,38919,47104,53948,0.873
033240,265,자화전자,9344,42950,384291,346628,559204,0.62
001270,266,부국증권,9198,88700,200414,226746,96632,2.346
108320,267,LX세미콘,9156,56300,121028,97307,105609,0.921
001060,268,JW중외제약,9093,39050,249526,165801,208622,0.795
317450,269,명인제약,9037,61900,24882,32805,62820,0.522
002350,270,넥센타이어,9034,9250,191456,295370,345211,0.856
093370,271,후성,8923,8320,484222,564553,922791,0.612
003850,272,보령,8878,10350,392985,655464,346718,1.89
001510,273,SK증권,8832,1869,317824852,141624331,69687046,2.032
451800,274,한화리츠,8746,4870,206337,199704,236987,0.843
003620,275,KG모빌리티,8651,4275,2228226,3281860,5500222,0.597
248070,276,솔루엠,8573,17930,355208,288050,203978,1.412
079900,277,전진건설로봇,8551,58600,129598,384316,559764,0.687
007700,278,F&F홀딩스,8429,21550,20017,20972,24403,0.859
001500,279,현대차증권,8427,13630,4189380,3559399,1114770,3.193
130660,280,한전산업,8329,25550,15923695,11463328,5334798,2.149
069260,281,TKG휴켐스,8318,20350,112305,171938,150949,1.139
014820,282,동원시스템즈,8291,28600,45514,49331,58036,0.85
002020,283,코오롱,8273,64100,33907,54384,106628,0.51
114090,284,GKL,8257,13350,241029,381916,362931,1.052
214320,285,이노션,8160,20400,241546,193808,230785,0.84
005180,286,빙그레,8151,85300,23058,52321,47661,1.098
001680,287,대상,8107,23400,115562,154186,154790,0.996
000400,288,롯데손해보험,7835,2525,11716460,3092809,1100436,2.811
00104K,289,CJ4우(전환),7823,185100,6083,9647,12710,0.759
003545,290,대신증권우,7748,29800,289963,279442,172277,1.622
017940,291,E1,7717,112500,38270,29739,29004,1.025
025540,292,한국단자,7707,76200,42462,38233,51991,0.735
000640,293,동아쏘시오홀딩스,7693,117700,22493,18039,18455,0.977
005250,294,녹십자홀딩스,7660,16290,75600,100762,104429,0.965
039130,295,하나투어,7659,49450,76911,148858,140580,1.059
456040,296,OCI,7627,85200,46625,119183,94124,1.266
016610,297,DB증권,7449,17550,878306,554749,280059,1.981
005880,298,대한해운,7439,2305,8979353,8265838,7014615,1.178
381970,299,케이카,7376,15110,131936,95527,133168,0.717
